Fecha,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,COAHUILA DE ZARAGOZA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN DE OCAMPO,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ DE IGNACIO DE LA LLAVE,YUCATAN,ZACATECAS
2020-04-19,0.1846119269491126,0.5589874364178976,0.24077220197323748,0.21528823605622777,0.05310195154076887,0.30206121964388294,0.6885439136372237,0.06633735580402932,0.0,0.0457739031313938,0.08636308992357848,0.16769484622404304,0.20702758521263007,0.05523274538289437,0.380120127725465,0.10689778014727759,0.34656252358822115,0.06358534448917931,0.06896497959776546,0.0780838853060008,0.16883633080123392,0.0769601242942749,0.3876976013227514,0.02994421954873485,0.4541090290029145,0.1558320444743625,0.6111622900526759,0.12426070987376607,0.26428249369655094,0.12007116847532617,0.3595768510325695,0.13827220563036852
2020-04-20,0.38700007827717275,0.63825449309849,0.4359639847967492,0.3158580768122175,0.1372285328821739,0.42149475718969054,0.8926212359415895,0.19343190694755463,0.05450788291174273,0.10649100962444437,0.09824791125209846,0.2286714274607801,0.33996105426837053,0.09572031269090087,0.4793932850531432,0.2590615364259888,0.4748339008939151,0.1190390226506437,0.08971715732172761,0.09559284699240927,0.22965302487173025,0.11086491907798038,0.6277643255122457,0.12097435041233763,0.5760835703319003,0.25451496987775907,0.6111622900526759,0.29361787803334793,0.4273995458043546,0.277419774125888,0.36822353128428065,0.11807269172880701
2020-04-21,0.16257804457292066,0.5018766607088555,0.050566214890384195,0.1860326839468124,0.045902043502845796,0.30206121964388294,0.703431634571629,0.16497287569822883,0.05450788291174273,0.06697023597034232,0.08636308992357848,0.16769484622404304,0.2667633068722969,0.09572031269090087,0.4083680969895802,0.12823228448727544,0.3156424009990134,0.06358534448917931,0.06182122031270047,0.08692659631120243,0.21312817819700378,0.05896053839815221,0.465725746696502,0.10908112009522947,0.36511012541883525,0.1558320444743625,0.5400510349305898,0.2554000968348597,0.3886328949258384,0.19066860521130025,0.3931762791321656,0.05114009982081752
2020-04-22,0.26302432265106507,0.5880922228840402,0.394764502827521,0.2928137508950773,0.10041270945762208,0.39457267035417953,0.7149849372998615,0.12387166552823212,0.0,0.12497976687218078,0.08636308992357848,0.18376021097826484,0.21608098440416248,0.08263940315084843,0.38530104560705825,0.16799324109648156,0.4597670716717907,0.14431846455006211,0.11592889767914953,0.08692659631120243,0.14977228545747862,0.1716375975973966,0.41862374477484576,0.02994421954873485,0.3772846580821573,0.22116702740225605,0.5024091999621424,0.22791525961455317,0.22670767549235576,0.1802566689604667,0.22797434356895105,0.09688765202439141
2020-04-23,0.3733050788756268,0.47836293690495557,0.2088204579476059,0.21528823605622777,0.10676951507070796,0.3707880574857648,0.738110223761637,0.15505645713152716,0.10293112099565933,0.10649100962444437,0.06790285161590794,0.2286714274607801,0.2505176218292408,0.10841871932934377,0.3924520403244753,0.18047712902797447,0.3936561408288802,0.19084981755448974,0.08971715732172761,0.12862556265024536,0.18709860147868188,0.0769601242942749,0.40855775534813815,0.044176076016507644,0.43875218626846935,0.2464149612754214,0.5135009963588099,0.2685166119634554,0.24590132588973246,0.19747375448879978,0.3850169630929143,0.07461596498442646
2020-04-24,0.2805991560718257,0.4823713669766251,0.34924303283563785,0.2928137508950773,0.08076419669832231,0.4258238769940306,0.7930384521262814,0.13451734951288782,0.05450788291174273,0.14271345720379666,0.12661046640975201,0.3065801623377954,0.28242313764787474,0.09999450247164882,0.42934181326000487,0.1985548596104917,0.5853667136635479,0.2891493175152246,0.09641989115467034,0.11242319032697297,0.26092820222856916,0.020555851143111165,0.3657847085147333,0.08427057963469761,0.478555398454658,0.27027538769322995,0.5933083998620867,0.24187506823242222,0.3607219021797445,0.277419774125888,0.43915326057797777,0.07461596498442646
2020-04-25,0.2447081741611936,0.568907339539371,0.3245582248457472,0.3377410026644752,0.1372285328821739,0.4468449044516363,0.7985597605533079,0.16497287569822883,0.05450788291174273,0.08718001629524057,0.09234615404322193,0.29452772166817476,0.23364053801145943,0.08704362903343645,0.44667452348411196,0.17428004002212838,0.49649721069282016,0.2123703503001646,0.15249961643787177,0.0780838853060008,0.22558038554503324,0.1423134146503704,0.5614795892663832,0.19619097779248393,0.4971676598247875,0.29289289686554465,0.52431655095844,0.36642545159153955,0.26428249369655094,0.26891168830217355,0.4167729103278873,0.05114009982081752
2020-04-26,0.26302432265106507,0.5656258169842019,0.1743299564422677,0.1860326839468124,0.10041270945762208,0.30206121964388294,0.7522892676804911,0.15505645713152716,0.0,0.19194413971502805,0.13206729080510446,0.19925242669006965,0.31214427057203825,0.09140363922038332,0.43212496566174546,0.2380215239315498,0.436138971274468,0.2524543491075072,0.15830617323878965,0.13650557050772863,0.2088968176591573,0.1716375975973966,0.5000435361959055,0.14382616918669183,0.36511012541883525,0.23816100390463765,0.43575571354353854,0.31153536762468115,0.3886328949258384,0.207485625173951,0.4463642197175012,0.11807269172880701
2020-04-27,0.5437268194071967,0.5488356415581136,0.13686216414999752,0.3585739986674503,0.10041270945762208,0.3899188148027982,0.8543798932000577,0.13451734951288782,0.14649276701326805,0.06697023597034232,0.10981613938864401,0.21421098394185686,0.3262753342643504,0.09572031269090087,0.45464940628025896,0.18047712902797447,0.4893955005706908,0.2123703503001646,0.21246366324403054,0.13650557050772863,0.26092820222856916,0.12687376404073322,0.47456275368779954,0.23396441845873486,0.4439317048577587,0.27794618152759826,0.5079905074878087,0.3865758535019705,0.4019433319069382,0.3277478239742883,0.5306072025937918,0.31433635841224067
2020-04-28,0.2805991560718257,0.5453982824236429,0.13686216414999752,0.1546631140302705,0.14883814330882986,0.3707880574857648,0.808631030220069,0.15505645713152716,0.0,0.10649100962444437,0.06790285161590794,0.25622339620360085,0.29753790185336637,0.09140363922038332,0.46420171253330267,0.15513985359262758,0.5034846575395979,0.2123703503001646,0.10302074791420632,0.14424514473851457,0.17806345111534916,0.09424330049959853,0.465725746696502,0.215488244241471,0.3588924374269918,0.27027538769322995,0.5348692896984977,0.274929245985755,0.18557134277538653,0.2993253498479566,0.3931762791321656,0.15757382532076677
